Недела;Ден;Датум;Час;Просторија;Студиска програма;Семестар;предмет;тип на настава;проф/асс;Групи
15;Thursday;2026-04-09;10:00;04 пред.;Диететика;4;Моделирање и оптимизирање во нутриционизам и диететика;Предавање;;
15;Thursday;2026-04-09;13:00;НФИЦ;Магистер;8;Фармакоинформатика;Вежби;;
15;Thursday;2026-04-09;14:00;НФИЦ;Магистер;8;Фармакоинформатика;Вежби;;
15;Thursday;2026-04-09;15:00;НФИЦ;Магистер;8;Фармакоинформатика;Вежби;;
15;Thursday;2026-04-09;16:00;НФИЦ;Магистер;8;Фармакоинформатика;Вежби;;
16;Tuesday;2026-04-14;09:00;01 пред.;Лабораториско;4;Молекуларни генетски анализи;Предавање;;
16;Tuesday;2026-04-14;10:00;01 пред.;Лабораториско;4;Молекуларни генетски анализи;Предавање;;
16;Tuesday;2026-04-14;11:00;01 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Предавање;Доц. д-р Зоран Живиќ;
16;Tuesday;2026-04-14;12:00;01 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Предавање;Доц. д-р Зоран Живиќ;
16;Tuesday;2026-04-14;13:00;01 пред.;Лабораториско;6;Токсиколошки и форензички анализи;Предавање;Доц. д-р Зоран Живиќ;
